0-80 UNF	2A	ext	inches	80	0.0125	0.0595	0.0563	0.0514	0.0496	0.0446	0.0446
0-80 UNF	3A	ext	inches	80	0.0125	0.06	0.0568	0.0519	0.0506	0.0451	0.0451
1-64 UNC	2A	ext	inches	64	0.015625	0.0724	0.0686	0.0623	0.0603	0.0538	0.0538
1-64 UNC	3A	ext	inches	64	0.015625	0.073	0.0692	0.0629	0.0614	0.0544	0.0544
1-72 UNF	2A	ext	inches	72	0.0138889	0.0724	0.0689	0.0634	0.0615	0.0559	0.0559
1-72 UNF	3A	ext	inches	72	0.0138889	0.073	0.0695	0.064	0.0626	0.0565	0.0565
2-56 UNC	2A	ext	inches	56	0.0178571	0.0854	0.0813	0.0738	0.0717	0.0642	0.0642
2-56 UNC	3A	ext	inches	56	0.0178571	0.086	0.0819	0.0744	0.0728	0.0648	0.0648
2-64 UNF	2A	ext	inches	64	0.015625	0.0854	0.0816	0.0753	0.0733	0.0668	0.0668
2-64 UNF	3A	ext	inches	64	0.015625	0.086	0.0822	0.0759	0.0744	0.0674	0.0674
3-48 UNC	2A	ext	inches	48	0.0208333	0.0983	0.0938	0.0848	0.0825	0.0734	0.0734
3-48 UNC	3A	ext	inches	48	0.0208333	0.099	0.0945	0.0855	0.0838	0.0741	0.0741
3-56 UNF	2A	ext	inches	56	0.0178571	0.0983	0.0942	0.0867	0.0845	0.0771	0.0771
3-56 UNF	3A	ext	inches	56	0.0178571	0.099	0.0949	0.0874	0.0858	0.0778	0.0778
4-40 UNC	2A	ext	inches	40	0.025	0.1112	0.1061	0.095	0.0925	0.0814	0.0814
4-40 UNC	3A	ext	inches	40	0.025	0.112	0.1069	0.0958	0.0939	0.0822	0.0822
4-48 UNF	2A	ext	inches	48	0.0208333	0.1113	0.1068	0.0978	0.0954	0.0864	0.0864
4-48 UNF	3A	ext	inches	48	0.0208333	0.112	0.1075	0.0985	0.0967	0.0871	0.0871
5-40 UNC	2A	ext	inches	40	0.025	0.1242	0.1191	0.108	0.1054	0.0944	0.0944
4-48 UNF	3A	ext	inches	48	0.0208333	0.125	0.1199	0.1088	0.1069	0.0952	0.0952
5-44 UNF	2A	ext	inches	44	0.0227273	0.1243	0.1195	0.1095	0.107	0.0972	0.0972
5-44 UNF	3A	ext	inches	44	0.0227273	0.125	0.1202	0.1102	0.1083	0.0979	0.0979
6-32 UNC	2A	ext	inches	32	0.03125	0.1372	0.1312	0.1169	0.1141	0.1	0.1
6-32 UNC	3A	ext	inches	32	0.03125	0.138	0.132	0.1177	0.1156	0.1008	0.1008
6-40 UNF	2A	ext	inches	40	0.025	0.1372	0.1321	0.121	0.1184	0.1074	0.1074
6-40 UNF	3A	ext	inches	40	0.025	0.138	0.1329	0.1218	0.1198	0.1082	0.1082
8-32 UNC	2A	ext	inches	32	0.03125	0.1631	0.1571	0.1428	0.1399	0.1259	0.1259
8-32 UNC	3A	ext	inches	32	0.03125	0.164	0.158	0.1437	0.1415	0.1268	0.1268
8-36 UNF	2A	ext	inches	36	0.0277778	0.1632	0.1577	0.1452	0.1424	0.1301	0.1301
8-36 UNF	3A	ext	inches	36	0.0277778	0.164	0.1585	0.146	0.1439	0.1309	0.1309
10-24 UNC	2A	ext	inches	24	0.0416667	0.189	0.1818	0.1619	0.1586	0.1394	0.1394
10-24 UNC	3A	ext	inches	24	0.0416667	0.19	0.1828	0.1629	0.1604	0.1404	0.1404
10-28 UNS	2A	ext	inches	28	0.0357143	0.189	0.1825	0.1658	0.1625	0.1464	0.1464
10-32 UNF	2A	ext	inches	32	0.03125	0.1891	0.1831	1.1688	0.1658	0.1519	0.1519
10-32 UNF	3A	ext	inches	32	0.03125	0.19	0.184	0.1697	0.1674	0.1528	0.1528
10-36 UNS	2A	ext	inches	36	0.0277778	0.1891	0.1836	0.1711	0.1681	0.156	0.156
10-40 UNS	2A	ext	inches	40	0.025	0.1891	0.184	0.1729	0.17	0.1592	0.1592
10-48 UNS	2A	ext	inches	48	0.0208333	0.1892	0.1847	0.1757	0.1731	0.1644	0.1644
10-56 UNS	2A	ext	inches	56	0.0178571	0.1893	0.1852	0.1777	0.1752	0.1681	0.1681
12-24 UNC	2A	ext	inches	24	0.0416667	0.215	0.2078	0.1879	0.1845	0.1654	0.1654
12-24 UNC	3A	ext	inches	24	0.0416667	0.216	0.2088	0.1889	0.1863	0.1664	0.1664
12-28 UNF	2A	ext	inches	28	0.0357143	0.215	0.2085	0.1918	0.1886	0.1724	0.1724
12-28 UNF	3A	ext	inches	28	0.0357143	0.216	0.2095	0.1928	0.1904	0.1734	0.1734
12-32 UNEF	2A	ext	inches	32	0.03125	0.2151	0.2091	0.1948	0.1917	0.1779	0.1779
12-32 UNEF	3A	ext	inches	32	0.03125	0.216	0.21	0.1957	0.1933	0.1788	0.1788
12-36 UNS	2A	ext	inches	36	0.0277778	0.2151	0.2096	0.1971	0.1941	0.1821	0.1821
12-40 UNS	2A	ext	inches	40	0.025	0.2151	0.21	0.1989	0.196	0.1835	0.1835
12-48 UNS	2A	ext	inches	48	0.0208333	0.2152	0.2107	0.2017	0.1991	0.1904	0.1904
12-56 UNS	2A	ext	inches	56	0.0178571	0.2153	0.2112	0.2037	0.2012	0.1941	0.1941
1/4-20 UNC	1A	ext	inches	20	0.05	0.2489	0.2367	0.2164	0.2108	0.1894	0.1894
1/4-20 UNC	2A	ext	inches	20	0.05	0.2489	0.2408	0.2164	0.2127	0.1894	0.1894
1/4-20 UNC	3A	ext	inches	20	0.05	0.25	0.2419	0.2175	0.2147	0.1905	0.1905
1/4-24 UNS	2A	ext	inches	24	0.0416667	0.2489	0.2417	0.2218	0.2181	0.1993	0.1993
1/4-27 UNS	2A	ext	inches	27	0.037037	0.249	0.2423	0.2249	0.2214	0.2049	0.2049
1/4-28 UNF	1A	ext	inches	28	0.0357143	0.249	0.2392	0.2258	0.2208	0.2064	0.2064
1/4-28 UNF	2A	ext	inches	28	0.0357143	0.249	0.2425	0.2258	0.2225	0.2064	0.2064
1/4-28 UNF	3A	ext	inches	28	0.0357143	0.25	0.2435	0.2268	0.2243	0.2074	0.2074
1/4-32 UNEF	2A	ext	inches	32	0.03125	0.249	0.243	0.2287	0.2255	0.2118	0.2118
1/4-32 UNEF	3A	ext	inches	32	0.03125	0.25	0.244	0.2297	0.2273	0.2128	0.2128
